id,team,work_group,total_assigned,total_completed,total_cured,total_dr,total_repo,total_tap_deng,report_date
001e3574-e25b-21d5-a716-446655440001,นกแก้ว,6090,83,27,3073313.984,2000511.657,-1467015.611,-1333672.454,2025-05-21
002e3574-e25b-21d5-a716-446655440001,ออย,6090,62,22,2732909.16,950007.684,1803590.097,859769.85,2025-05-21
003e3574-e25b-21d5-a716-446655440001,กุ้ง,6090,60,15,2396007.149,1463609.031,241199.314,1177774.251,2025-05-21
004e3574-e25b-21d5-a716-446655440001,บาส,6090,54,21,4090866.77,1784902.956,-151532.3815,1106051.36,2025-05-21
005e3574-e25b-21d5-a716-446655440001,โป้ง,6090,25,12,1730891.709,773943.3132,399867.2635,644952.761,2025-05-21
006e3574-e25b-21d5-a716-446655440001,นุช,6090,21,9,1151379.763,-72087.7436,1750.61315,-453273.123,2025-05-21
007e3574-e25b-21d5-a716-446655440001,ประพัน,6090,49,23,3994988.392,1292154.79,321785.3941,1076795.658,2025-05-21
008e3574-e25b-21d5-a716-446655440001,เอ,6090,49,18,3714134.689,700766.8372,400085.8875,-163567.189,2025-05-21
009e3574-e25b-21d5-a716-446655440001,อิฐ,6090,28,11,1302657.329,352726.4952,677672.1755,467360.121,2025-05-21
010e3574-e25b-21d5-a716-446655440001,แดง,6090,54,18,2057400.928,1105952.012,427379.8679,-52524.268,2025-05-21
011e3574-e25b-21d5-a716-446655440001,อาร์ท,6090,33,14,2823980.769,1136769.937,927542.5675,947308.281,2025-05-21
012e3574-e25b-21d5-a716-446655440001,บ๋อม,6090,39,16,3445127.174,1019617.675,1018938.814,309497.856,2025-05-21
013e3574-e25b-21d5-a716-446655440001,นิ่ม,6090,47,16,2637121.925,1543786.782,-586967.7817,-663162.535,2025-05-21
014e3574-e25b-21d5-a716-446655440001,บอย,6090,45,10,935242.762,1349311.666,1265238.903,834634.718,2025-05-21
015e3574-e25b-21d5-a716-446655440001,ธาดา,6090,37,12,2090996.587,978576.4596,1020301.025,323302.973,2025-05-21
016e3574-e25b-21d5-a716-446655440001,เร,6090,21,7,1519488.962,691245.7296,-686303.7234,333690.918,2025-05-21
017e3574-e25b-21d5-a716-446655440001,ผญบ,6090,22,7,1664574.53,402233.942,588852.902,223702.26,2025-05-21
018e3574-e25b-21d5-a716-446655440001,อ๊อฟ,6090,37,11,3011350.923,1178451.968,709505.0652,-345705.323,2025-05-21
019e3574-e25b-21d5-a716-446655440001,เทวิน,6090,36,12,2028030.108,911491.9244,355122.7274,773422.672,2025-05-21
